threshold,precision,recall,f1,accuracy
0.0,0.55,1.0,0.71,0.55
0.05,0.97,1.0,0.98,0.98
0.1,0.97,1.0,0.99,0.98
0.15,0.98,1.0,0.99,0.99
0.2,0.98,1.0,0.99,0.99
0.25,0.98,1.0,0.99,0.99
0.3,0.99,1.0,0.99,0.99
0.35,0.99,1.0,0.99,0.99
0.4,0.99,1.0,0.99,0.99
0.45,0.99,1.0,0.99,0.99
0.5,0.99,1.0,0.99,0.99
0.55,0.99,1.0,0.99,0.99
0.6,0.99,0.99,0.99,0.99
0.65,0.99,0.99,0.99,0.99
0.7,0.99,0.99,0.99,0.99
0.75,0.99,0.99,0.99,0.99
0.8,0.99,0.98,0.99,0.99
0.85,0.99,0.97,0.98,0.98
0.9,1.0,0.96,0.98,0.98
0.95,1.0,0.94,0.97,0.97
1.0,1.0,0.73,0.84,0.85
