threshold,precision,recall,f1,accuracy
0.0,0.55,1.0,0.71,0.55
0.05,1.0,0.94,0.96,0.96
0.1,1.0,0.9,0.95,0.94
0.15,1.0,0.86,0.92,0.92
0.2,1.0,0.81,0.9,0.9
0.25,1.0,0.77,0.87,0.88
0.3,1.0,0.74,0.85,0.86
0.35,1.0,0.71,0.83,0.84
0.4,1.0,0.68,0.81,0.82
0.45,1.0,0.65,0.79,0.81
0.5,1.0,0.62,0.76,0.79
0.55,1.0,0.58,0.73,0.77
0.6,1.0,0.54,0.7,0.75
0.65,1.0,0.5,0.67,0.73
0.7,1.0,0.46,0.63,0.7
0.75,1.0,0.4,0.57,0.67
0.8,1.0,0.33,0.49,0.63
0.85,1.0,0.26,0.41,0.59
0.9,1.0,0.17,0.3,0.55
0.95,1.0,0.09,0.16,0.5
1.0,1.0,0.0,0.0,0.45
